metdat-2022-01-26 Sat Nov  4 21:06:05 2023
ih jhr ht winsp windir tempC
16 16 9.9 5.14 43.0 32.3
16 16 24.7 5.59 43.0 32.0
16 16 49.4 6.09 43.0 31.7
16 16 74.2 6.40 42.0 31.4
16 16 98.9 6.60 42.0 31.1
16 16 148.3 6.90 42.0 30.5
16 16 197.7 7.10 42.0 30.0
16 16 247.2 7.20 42.0 29.5
16 16 296.6 7.30 41.1 29.0
16 16 346.0 7.40 41.0 28.5
16 16 395.5 7.50 41.0 28.1
16 16 444.9 7.50 41.0 27.6
16 16 494.3 7.60 41.0 27.1
16 16 543.8 7.60 41.0 26.6
16 16 593.2 7.65 40.0 26.1
16 16 642.6 7.70 40.0 25.7
16 16 692.1 7.70 40.0 25.2
16 16 790.9 7.75 40.0 24.2
16 16 889.8 7.80 39.0 23.3
16 16 988.7 7.80 39.0 22.3
16 16 1087.5 7.80 39.0 21.4
16 16 1186.4 7.80 38.0 20.4
16 16 1285.3 7.80 38.0 19.5
16 16 1384.1 7.80 37.0 18.5
16 16 1483.0 7.80 37.0 17.6
16 16 1730.2 7.70 36.0 15.2
16 16 1977.3 7.60 34.0 13.0
16 16 2224.5 7.40 30.0 11.1
16 16 2471.7 5.50 14.0 9.9
16 16 2718.8 4.30 2.9 8.8
17 17 9.9 5.35 39.6 32.5
17 17 24.7 5.79 39.5 32.3
17 17 49.4 6.34 39.0 31.9
17 17 74.2 6.69 39.0 31.6
17 17 98.9 6.90 39.0 31.3
17 17 148.3 7.20 39.0 30.8
17 17 197.7 7.40 39.0 30.3
17 17 247.2 7.54 39.0 29.8
17 17 296.6 7.65 39.0 29.3
17 17 346.0 7.74 38.5 28.8
17 17 395.5 7.80 38.0 28.3
17 17 444.9 7.90 38.0 27.8
17 17 494.3 7.90 38.0 27.3
17 17 543.8 8.00 38.0 26.8
17 17 593.2 8.00 38.0 26.4
17 17 642.6 8.04 38.0 25.9
17 17 692.1 8.10 38.0 25.4
17 17 790.9 8.10 37.0 24.4
17 17 889.8 8.10 37.0 23.5
17 17 988.7 8.10 37.0 22.5
17 17 1087.5 8.14 37.0 21.6
17 17 1186.4 8.10 36.0 20.6
17 17 1285.3 8.10 36.0 19.7
17 17 1384.1 8.10 36.0 18.7
17 17 1483.0 8.10 35.0 17.8
17 17 1730.2 8.00 34.0 15.5
17 17 1977.3 7.80 33.0 13.2
17 17 2224.5 7.40 29.0 11.3
17 17 2471.7 5.20 13.0 10.3
17 17 2718.8 4.10 6.0 8.9
18 18 9.9 4.89 38.0 32.2
18 18 24.7 5.74 38.0 32.0
18 18 49.4 6.54 37.5 31.7
18 18 74.2 7.00 37.0 31.4
18 18 98.9 7.30 37.0 31.2
18 18 148.3 7.70 37.0 30.7
18 18 197.7 7.94 36.5 30.2
18 18 247.2 8.10 36.0 29.7
18 18 296.6 8.30 36.0 29.2
18 18 346.0 8.39 36.0 28.7
18 18 395.5 8.40 36.0 28.3
18 18 444.9 8.50 35.0 27.8
18 18 494.3 8.55 35.0 27.3
18 18 543.8 8.60 35.0 26.8
18 18 593.2 8.60 35.0 26.3
18 18 642.6 8.70 34.5 25.9
18 18 692.1 8.70 34.0 25.4
18 18 790.9 8.70 34.0 24.4
18 18 889.8 8.75 33.0 23.5
18 18 988.7 8.80 33.0 22.5
18 18 1087.5 8.79 32.9 21.6
18 18 1186.4 8.70 32.0 20.6
18 18 1285.3 8.70 32.0 19.7
18 18 1384.1 8.70 31.0 18.7
18 18 1483.0 8.60 31.0 17.8
18 18 1730.2 8.50 29.4 15.4
18 18 1977.3 8.26 28.0 13.2
18 18 2224.5 7.25 25.0 11.5
18 18 2471.7 4.95 16.0 10.4
18 18 2718.8 3.86 10.0 9.1
19 19 9.9 4.19 35.0 31.5
19 19 24.7 5.39 35.0 31.4
19 19 49.4 6.54 35.0 31.3
19 19 74.2 7.24 34.0 31.1
19 19 98.9 7.70 34.0 30.9
19 19 148.3 8.39 33.4 30.4
19 19 197.7 8.70 33.0 30.0
19 19 247.2 9.00 33.0 29.5
19 19 296.6 9.10 32.0 29.0
19 19 346.0 9.30 32.0 28.6
19 19 395.5 9.30 32.0 28.1
19 19 444.9 9.40 32.0 27.6
19 19 494.3 9.50 31.5 27.1
19 19 543.8 9.50 31.0 26.6
19 19 593.2 9.50 31.0 26.2
19 19 642.6 9.50 31.0 25.7
19 19 692.1 9.51 31.0 25.2
19 19 790.9 9.55 30.0 24.3
19 19 889.8 9.50 30.0 23.3
19 19 988.7 9.50 30.0 22.4
19 19 1087.5 9.40 29.0 21.4
19 19 1186.4 9.40 29.0 20.5
19 19 1285.3 9.30 28.0 19.5
19 19 1384.1 9.20 28.0 18.6
19 19 1483.0 9.10 28.0 17.6
19 19 1730.2 8.80 27.0 15.3
19 19 1977.3 8.11 25.0 13.0
19 19 2224.5 6.70 21.0 11.6
19 19 2471.7 4.80 12.9 10.8
19 19 2718.8 3.90 10.0 9.3
20 20 9.9 3.99 35.0 30.9
20 20 24.7 5.19 34.5 30.8
20 20 49.4 6.29 34.0 30.7
20 20 74.2 7.09 34.0 30.5
20 20 98.9 7.69 33.0 30.3
20 20 148.3 8.60 32.0 29.9
20 20 197.7 9.40 31.1 29.5
20 20 247.2 10.00 31.0 29.0
20 20 296.6 10.50 30.0 28.6
20 20 346.0 10.90 29.0 28.1
20 20 395.5 11.00 29.0 27.7
20 20 444.9 11.10 28.0 27.2
20 20 494.3 11.10 28.0 26.7
20 20 543.8 11.10 28.0 26.3
20 20 593.2 11.00 27.5 25.8
20 20 642.6 11.00 27.0 25.3
20 20 692.1 10.90 27.0 24.8
20 20 790.9 10.80 27.0 23.9
20 20 889.8 10.60 26.0 22.9
20 20 988.7 10.40 26.0 22.0
20 20 1087.5 10.20 26.0 21.1
20 20 1186.4 10.00 25.0 20.1
20 20 1285.3 9.70 25.0 19.2
20 20 1384.1 9.41 25.0 18.3
20 20 1483.0 9.20 24.0 17.4
20 20 1730.2 8.40 24.0 15.1
20 20 1977.3 7.40 23.9 13.2
20 20 2224.5 6.19 23.9 12.0
20 20 2471.7 4.90 18.0 11.0
20 20 2718.8 4.10 14.0 9.4
21 21 9.9 3.89 35.0 30.1
21 21 24.7 5.14 34.0 30.1
21 21 49.4 6.30 34.0 30.0
21 21 74.2 7.19 33.0 29.8
21 21 98.9 7.84 33.0 29.7
21 21 148.3 8.90 32.0 29.3
21 21 197.7 9.80 31.0 28.9
21 21 247.2 10.40 30.0 28.5
21 21 296.6 10.86 29.0 28.1
21 21 346.0 11.40 28.0 27.6
21 21 395.5 12.00 26.0 27.2
21 21 444.9 12.20 25.0 26.7
21 21 494.3 12.10 25.0 26.3
21 21 543.8 12.00 25.0 25.8
21 21 593.2 11.90 24.0 25.3
21 21 642.6 11.80 24.0 24.9
21 21 692.1 11.70 24.0 24.4
21 21 790.9 11.40 23.0 23.5
21 21 889.8 11.10 23.0 22.5
