"Fly","Index","Events","dom_dir","Origin","Source","Morph","Ecl_date","SexWeightSize","Temp_start","Temp_end","Exp_start"
"0705mill1",239,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0706mill1",0,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",1,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",2,9,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",3,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",4,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",5,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",6,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",7,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",8,10,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",9,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",10,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",11,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",12,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",13,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",14,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",15,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",16,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",17,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",18,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",19,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",20,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",21,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",22,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",23,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",24,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",25,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",26,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",27,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",28,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",29,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",30,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",31,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",32,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",33,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",34,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",35,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",36,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",37,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",38,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",39,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",40,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",41,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",42,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",43,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",44,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",45,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",46,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",47,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",48,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",49,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",50,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",51,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",52,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",53,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",54,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",55,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",56,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",57,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",58,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",59,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",60,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",61,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",62,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",63,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",64,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",65,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",66,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",67,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",68,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",69,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",70,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",71,9,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",72,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",73,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",74,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",75,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",76,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",77,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",78,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",79,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",80,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",81,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",82,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",83,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",84,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",85,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",86,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill1",87,NA,"R","22 Summer","W","S",705,"fma",20.8,20.7,1229
